,full_name,bioguide_id,govtrack_id,pct,birthday,gender,election_date,party,senate_class,stage,cycle,start_date,end_date,ranked_choice_reallocated,name,congressional
2228,Kyrsten Sinema,S001191,412509,45.86,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-15,2018-10-19,False,kyrstensinema,115
2229,Kyrsten Sinema,S001191,412509,43.91,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-15,2018-10-19,False,kyrstensinema,115
2230,Kyrsten Sinema,S001191,412509,46.54,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-16,2018-10-17,False,kyrstensinema,115
2261,Kyrsten Sinema,S001191,412509,43.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-06-27,2018-07-02,False,kyrstensinema,115
2260,Kyrsten Sinema,S001191,412509,46.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-06-27,2018-07-02,False,kyrstensinema,115
2259,Kyrsten Sinema,S001191,412509,54.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-07-24,2018-07-25,False,kyrstensinema,115
2258,Kyrsten Sinema,S001191,412509,51.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-07-24,2018-07-25,False,kyrstensinema,115
2257,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-07-24,2018-07-25,False,kyrstensinema,115
2256,Kyrsten Sinema,S001191,412509,46.1,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-04,2018-09-06,False,kyrstensinema,115
2255,Kyrsten Sinema,S001191,412509,45.5,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-05,2018-09-06,False,kyrstensinema,115
2254,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-05,2018-09-07,False,kyrstensinema,115
2253,Kyrsten Sinema,S001191,412509,46.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-08,2018-09-11,False,kyrstensinema,115
2252,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-08,2018-09-11,False,kyrstensinema,115
2251,Kyrsten Sinema,S001191,412509,51.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-08,2018-09-13,False,kyrstensinema,115
2250,Kyrsten Sinema,S001191,412509,39.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-05,2018-09-14,False,kyrstensinema,115
2249,Kyrsten Sinema,S001191,412509,46.9,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-05,2018-09-14,False,kyrstensinema,115
2248,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-11,2018-09-15,False,kyrstensinema,115
2247,Kyrsten Sinema,S001191,412509,50.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-11,2018-09-15,False,kyrstensinema,115
2246,Kyrsten Sinema,S001191,412509,45.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-16,2018-09-20,False,kyrstensinema,115
2245,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-16,2018-09-20,False,kyrstensinema,115
2231,Kyrsten Sinema,S001191,412509,47.94,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-16,2018-10-17,False,kyrstensinema,115
2232,Kyrsten Sinema,S001191,412509,43.7,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-09,2018-10-10,False,kyrstensinema,115
2233,Kyrsten Sinema,S001191,412509,43.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-09,2018-10-10,False,kyrstensinema,115
2234,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-02,2018-10-05,False,kyrstensinema,115
2235,Kyrsten Sinema,S001191,412509,41.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-10-01,2018-10-02,False,kyrstensinema,115
2236,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-29,2018-10-02,False,kyrstensinema,115
2193,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-01-30,2018-02-01,False,rickscott,115
2237,Kyrsten Sinema,S001191,412509,45.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-29,2018-10-02,False,kyrstensinema,115
2239,Kyrsten Sinema,S001191,412509,44.6,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-27,2018-09-30,False,kyrstensinema,115
2240,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-10,2018-09-25,False,kyrstensinema,115
2241,Kyrsten Sinema,S001191,412509,43.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-10,2018-09-25,False,kyrstensinema,115
2242,Kyrsten Sinema,S001191,412509,44.5,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-19,2018-09-21,False,kyrstensinema,115
2243,Kyrsten Sinema,S001191,412509,47.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-16,2018-09-20,False,kyrstensinema,115
2244,Kyrsten Sinema,S001191,412509,44.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-16,2018-09-20,False,kyrstensinema,115
2238,Kyrsten Sinema,S001191,412509,49.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-09-29,2018-10-01,False,kyrstensinema,115
2262,Kyrsten Sinema,S001191,412509,52.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-06-27,2018-07-02,False,kyrstensinema,115
2192,Rick Scott,S001217,412838,42.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-01-29,2018-02-04,False,rickscott,115
2190,Rick Scott,S001217,412838,40.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-01,2018-02-18,False,rickscott,115
2154,Rick Scott,S001217,412838,38.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-05,2018-09-12,False,rickscott,115
2153,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-05,2018-09-12,False,rickscott,115
2152,Rick Scott,S001217,412838,42.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-13,2018-09-16,False,rickscott,115
2151,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-17,2018-09-19,False,rickscott,115
2150,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-16,2018-09-20,False,rickscott,115
2149,Rick Scott,S001217,412838,43.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-16,2018-09-20,False,rickscott,115
2148,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-19,2018-09-24,False,rickscott,115
2147,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-20,2018-09-24,False,rickscott,115
2146,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-24,2018-09-27,False,rickscott,115
2145,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-17,2018-09-30,False,rickscott,115
2144,Rick Scott,S001217,412838,44.6,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-27,2018-09-30,False,rickscott,115
2143,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-28,2018-09-30,False,rickscott,115
2142,Rick Scott,S001217,412838,46.7,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-29,2018-09-30,False,rickscott,115
2141,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-19,2018-10-02,False,rickscott,115
2140,Rick Scott,S001217,412838,45.97,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-01,2018-10-05,False,rickscott,115
2139,Rick Scott,S001217,412838,48.6,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-15,2018-10-16,False,rickscott,115
2138,Rick Scott,S001217,412838,51.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-14,2018-10-18,False,rickscott,115
2124,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-23,2018-10-26,False,rickscott,115
2125,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-23,2018-10-26,False,rickscott,115
2126,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-17,2018-10-25,False,rickscott,115
2127,Rick Scott,S001217,412838,39.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-17,2018-10-25,False,rickscott,115
2128,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-22,2018-10-23,False,rickscott,115
2129,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-16,2018-10-23,False,rickscott,115
2155,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-10,2018-09-11,False,rickscott,115
2130,Rick Scott,S001217,412838,38.4,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-16,2018-10-22,False,rickscott,115
2132,Rick Scott,S001217,412838,41.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-18,2018-10-21,False,rickscott,115
2133,Rick Scott,S001217,412838,42.3,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-18,2018-10-21,False,rickscott,115
2134,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-17,2018-10-21,False,rickscott,115
2135,Rick Scott,S001217,412838,47.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-17,2018-10-20,False,rickscott,115
2136,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-16,2018-10-20,False,rickscott,115
2137,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-16,2018-10-20,False,rickscott,115
2131,Rick Scott,S001217,412838,48.6,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-10-20,2018-10-21,False,rickscott,115
2191,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-01,2018-02-04,False,rickscott,115
2156,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-09-07,2018-09-09,False,rickscott,115
2158,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-08-29,2018-08-30,False,rickscott,115
2189,Rick Scott,S001217,412838,41.6,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-18,2018-02-24,False,rickscott,115
2188,Rick Scott,S001217,412838,38.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-23,2018-02-25,False,rickscott,115
2187,Rick Scott,S001217,412838,42.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-23,2018-02-26,False,rickscott,115
2186,Rick Scott,S001217,412838,43.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-12,2018-03-05,False,rickscott,115
2185,Rick Scott,S001217,412838,43.3,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-03-01,2018-03-07,False,rickscott,115
2184,Rick Scott,S001217,412838,47.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-03-10,2018-03-13,False,rickscott,115
2183,Rick Scott,S001217,412838,40.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-02-26,2018-03-19,False,rickscott,115
2182,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-04-10,2018-04-11,False,rickscott,115
2181,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-05-04,2018-05-07,False,rickscott,115
2180,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-05-04,2018-05-07,False,rickscott,115
2179,Rick Scott,S001217,412838,40.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-05-29,2018-05-30,False,rickscott,115
2178,Rick Scott,S001217,412838,39.5,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-05-25,2018-05-31,False,rickscott,115
2177,Rick Scott,S001217,412838,48.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-05-25,2018-06-04,False,rickscott,115
2176,Rick Scott,S001217,412838,40.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-05-31,2018-06-15,False,rickscott,115
2175,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-18,2018-06-19,False,rickscott,115
2174,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-17,2018-06-21,False,rickscott,115
2173,Rick Scott,S001217,412838,46.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-19,2018-06-22,False,rickscott,115
2159,Rick Scott,S001217,412838,47.3,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-08-29,2018-08-30,False,rickscott,115
2160,Rick Scott,S001217,412838,47.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-08-29,2018-08-30,False,rickscott,115
2161,Rick Scott,S001217,412838,45.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-08-16,2018-08-20,False,rickscott,115
2162,Rick Scott,S001217,412838,40.4,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-08-10,2018-08-16,False,rickscott,115
2163,Rick Scott,S001217,412838,47.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-07-24,2018-07-25,False,rickscott,115
2164,Rick Scott,S001217,412838,44.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-07-20,2018-07-21,False,rickscott,115
2157,Rick Scott,S001217,412838,49.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-08-30,2018-09-03,False,rickscott,115
2165,Rick Scott,S001217,412838,43.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-07-13,2018-07-14,False,rickscott,115
2167,Rick Scott,S001217,412838,51.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-11,2018-07-02,False,rickscott,115
2168,Rick Scott,S001217,412838,52.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-11,2018-07-02,False,rickscott,115
2169,Rick Scott,S001217,412838,51.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-11,2018-07-02,False,rickscott,115
2170,Rick Scott,S001217,412838,53.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-11,2018-07-02,False,rickscott,115
2171,Rick Scott,S001217,412838,51.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-11,2018-07-02,False,rickscott,115
2172,Rick Scott,S001217,412838,42.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-19,2018-06-22,False,rickscott,115
2166,Rick Scott,S001217,412838,49.0,1952-12-01,M,2018-11-06,Republican,1.0,general,2018,2018-06-11,2018-07-02,False,rickscott,115
2263,Kyrsten Sinema,S001191,412509,48.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-06-11,2018-07-02,False,kyrstensinema,115
2264,Kyrsten Sinema,S001191,412509,52.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-06-11,2018-07-02,False,kyrstensinema,115
2265,Kyrsten Sinema,S001191,412509,57.0,1976-07-12,F,2018-11-06,Independent,1.0,general,2018,2018-06-11,2018-07-02,False,kyrstensinema,115
2409,Jacky Rosen,R000608,412715,35.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-12,2018-10-19,False,jackyrosen,115
2408,Jacky Rosen,R000608,412715,41.2,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-12,2018-10-19,False,jackyrosen,115
2407,Jacky Rosen,R000608,412715,47.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-24,2018-10-26,False,jackyrosen,115
2406,Jacky Rosen,R000608,412715,48.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-24,2018-10-29,False,jackyrosen,115
2405,Jacky Rosen,R000608,412715,44.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-24,2018-10-29,False,jackyrosen,115
2404,Jacky Rosen,R000608,412715,45.6,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-24,2018-10-30,False,jackyrosen,115
2403,Jacky Rosen,R000608,412715,46.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-25,2018-10-31,False,jackyrosen,115
2402,Jacky Rosen,R000608,412715,45.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-29,2018-10-31,False,jackyrosen,115
2401,Jacky Rosen,R000608,412715,46.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-26,2018-11-01,False,jackyrosen,115
2400,Jacky Rosen,R000608,412715,45.6,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-29,2018-11-01,False,jackyrosen,115
2399,Jacky Rosen,R000608,412715,43.2,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-30,2018-11-01,False,jackyrosen,115
2398,Jacky Rosen,R000608,412715,44.4,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-31,2018-11-02,False,jackyrosen,115
2397,Jacky Rosen,R000608,412715,44.5,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-11-01,2018-11-03,False,jackyrosen,115
2396,Jacky Rosen,R000608,412715,49.1,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-11-01,2018-11-04,False,jackyrosen,115
2410,Jacky Rosen,R000608,412715,48.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-15,2018-10-16,False,jackyrosen,115
2395,Jacky Rosen,R000608,412715,45.8,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-11-02,2018-11-04,False,jackyrosen,115
2380,Ted Cruz,C001098,412573,30.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2017-04-03,2017-04-09,False,tedcruz,115
2379,Ted Cruz,C001098,412573,52.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2017-12-12,2017-12-14,False,tedcruz,115
2378,Ted Cruz,C001098,412573,45.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-01-17,2018-01-18,False,tedcruz,115
2377,Ted Cruz,C001098,412573,47.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-04-12,2018-04-17,False,tedcruz,115
2376,Ted Cruz,C001098,412573,47.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-05-19,2018-05-21,False,tedcruz,115
2375,Ted Cruz,C001098,412573,48.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-05-21,2018-05-22,False,tedcruz,115
2374,Ted Cruz,C001098,412573,48.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-05-21,2018-05-28,False,tedcruz,115
2373,Ted Cruz,C001098,412573,50.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-05-23,2018-05-29,False,tedcruz,115
2372,Ted Cruz,C001098,412573,49.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-05-29,2018-06-05,False,tedcruz,115
2371,Ted Cruz,C001098,412573,41.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-06-08,2018-06-17,False,tedcruz,115
2370,Ted Cruz,C001098,412573,50.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-06-19,2018-06-22,False,tedcruz,115
2369,Ted Cruz,C001098,412573,44.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-06-19,2018-06-22,False,tedcruz,115
2368,Ted Cruz,C001098,412573,51.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-07-03,2018-07-07,False,tedcruz,115
2367,Ted Cruz,C001098,412573,41.0,1970-12-22,M,2018-11-06,Republican,1.0,general,2018,2018-07-09,2018-07-25,False,tedcruz,115
2394,Jacky Rosen,R000608,412715,46.9,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-11-03,2018-11-05,False,jackyrosen,115
2411,Jacky Rosen,R000608,412715,51.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-13,2018-10-15,False,jackyrosen,115
2412,Jacky Rosen,R000608,412715,41.4,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-10,2018-10-12,False,jackyrosen,115
2413,Jacky Rosen,R000608,412715,44.84,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2018-10-08,2018-10-10,False,jackyrosen,115
2452,Dean Heller,H001041,412218,45.2,1960-05-10,M,2018-11-06,Republican,1.0,general,2018,2018-10-31,2018-11-02,False,deanheller,115
2451,Dean Heller,H001041,412218,46.4,1960-05-10,M,2018-11-06,Republican,1.0,general,2018,2018-11-01,2018-11-03,False,deanheller,115
2450,Dean Heller,H001041,412218,44.6,1960-05-10,M,2018-11-06,Republican,1.0,general,2018,2018-11-01,2018-11-04,False,deanheller,115
2449,Dean Heller,H001041,412218,46.3,1960-05-10,M,2018-11-06,Republican,1.0,general,2018,2018-11-02,2018-11-04,False,deanheller,115
2448,Dean Heller,H001041,412218,44.6,1960-05-10,M,2018-11-06,Republican,1.0,general,2018,2018-11-03,2018-11-05,False,deanheller,115
2439,Jacky Rosen,R000608,412715,42.0,1957-08-02,F,2018-11-06,Democrat,1.0,general,2018,2017-06-23,2017-06-25,False,jackyrosen,115
