,full_name,pct,birthday,gender,party,senate_class,stage,cycle,start_date,end_date,ranked_choice_reallocated
79,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-06-24,2022-06-27,False
80,Raphael G. Warnock,54.0,1969-07-23,M,Democrat,3.0,general,2022,2022-06-23,2022-06-27,False
81,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2022-06-11,2022-06-16,False
82,Raphael G. Warnock,47.4,1969-07-23,M,Democrat,3.0,general,2022,2022-06-06,2022-06-09,False
83,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,general,2022,2022-04-22,2022-04-27,False
84,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,general,2022,2022-04-03,2022-04-16,False
85,Raphael G. Warnock,45.2,1969-07-23,M,Democrat,3.0,general,2022,2022-04-01,2022-04-03,False
86,Raphael G. Warnock,45.4,1969-07-23,M,Democrat,3.0,general,2022,2022-03-02,2022-03-08,False
87,Raphael G. Warnock,45.6,1969-07-23,M,Democrat,3.0,general,2022,2022-02-02,2022-02-06,False
88,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2022-01-19,2022-01-24,False
89,Raphael G. Warnock,43.6,1969-07-23,M,Democrat,3.0,general,2022,2022-01-13,2022-01-24,False
90,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,general,2022,2022-01-13,2022-01-24,False
91,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2021-12-04,2021-12-08,False
92,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,general,2022,2021-11-09,2021-11-09,False
93,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2021-11-09,2021-11-09,False
94,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,general,2022,2021-08-04,2021-08-05,False
95,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,general,2022,2021-08-04,2021-08-05,False
96,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,general,2022,2021-08-04,2021-08-05,False
97,Raphael G. Warnock,45.8,1969-07-23,M,Democrat,3.0,general,2022,2021-03-07,2021-03-09,False
98,Raphael G. Warnock,45.5,1969-07-23,M,Democrat,3.0,general,2022,2021-03-07,2021-03-09,False
99,Raphael G. Warnock,45.6,1969-07-23,M,Democrat,3.0,general,2022,2021-03-07,2021-03-09,False
100,Raphael G. Warnock,50.8,1969-07-23,M,Democrat,3.0,runoff,2020,2021-01-02,2021-01-04,False
101,Raphael G. Warnock,48.4,1969-07-23,M,Democrat,3.0,runoff,2020,2021-01-02,2021-01-04,False
102,Raphael G. Warnock,48.7,1969-07-23,M,Democrat,3.0,runoff,2020,2021-01-03,2021-01-03,False
103,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,runoff,2020,2021-01-02,2021-01-03,False
104,Raphael G. Warnock,47.7,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-30,2021-01-03,False
105,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-30,2021-01-03,False
106,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-30,2021-01-03,False
107,Raphael G. Warnock,51.1,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-25,2021-01-01,False
108,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-29,2020-12-30,False
109,Raphael G. Warnock,54.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-28,2020-12-29,False
110,Raphael G. Warnock,49.6,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-23,2020-12-27,False
111,Raphael G. Warnock,46.2,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-21,2020-12-27,False
112,Raphael G. Warnock,48.5,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-21,2020-12-22,False
113,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-18,2020-12-22,False
114,Raphael G. Warnock,43.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-14,2020-12-22,False
115,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-16,2020-12-20,False
116,Raphael G. Warnock,48.8,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-14,2020-12-16,False
117,Raphael G. Warnock,45.5,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-14,2020-12-16,False
118,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-14,2020-12-14,False
119,Raphael G. Warnock,47.7,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-10,2020-12-14,False
120,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-08,2020-12-14,False
121,Raphael G. Warnock,47.3,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-08,2020-12-10,False
122,Raphael G. Warnock,47.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-30,2020-12-04,False
123,Raphael G. Warnock,45.3,1969-07-23,M,Democrat,3.0,runoff,2020,2020-12-01,2020-12-03,False
124,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-27,2020-11-30,False
125,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-19,2020-11-24,False
126,Raphael G. Warnock,50.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-15,2020-11-20,False
127,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-16,2020-11-16,False
128,Raphael G. Warnock,45.6,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-10,2020-11-10,False
129,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-11-08,2020-11-09,False
130,Raphael G. Warnock,37.8,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-11-01,2020-11-01,False
131,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-27,2020-11-01,False
132,Raphael G. Warnock,37.9,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-29,2020-10-31,False
133,Raphael G. Warnock,36.9,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-28,2020-10-28,False
134,Raphael G. Warnock,46.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-27,2020-10-28,False
135,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-23,2020-10-27,False
136,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-23,2020-10-27,False
137,Raphael G. Warnock,42.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-23,2020-10-27,False
138,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-23,2020-10-27,False
139,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-23,2020-10-27,False
140,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-23,2020-10-27,False
141,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-23,2020-10-27,False
142,Raphael G. Warnock,48.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-23,2020-10-26,False
143,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-23,2020-10-26,False
144,Raphael G. Warnock,51.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-23,2020-10-26,False
145,Raphael G. Warnock,34.4,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-14,2020-10-23,False
146,Raphael G. Warnock,32.8,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-21,2020-10-21,False
147,Raphael G. Warnock,40.61,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-17,2020-10-20,False
148,Raphael G. Warnock,26.5,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-17,2020-10-19,False
149,Raphael G. Warnock,47.9,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-17,2020-10-19,False
150,Raphael G. Warnock,46.6,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-17,2020-10-19,False
151,Raphael G. Warnock,32.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-13,2020-10-19,False
152,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-13,2020-10-19,False
153,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-13,2020-10-19,False
154,Raphael G. Warnock,31.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-12,2020-10-15,False
155,Raphael G. Warnock,30.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-08,2020-10-12,False
156,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-08,2020-10-12,False
157,Raphael G. Warnock,52.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-08,2020-10-12,False
158,Raphael G. Warnock,54.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-08,2020-10-12,False
159,Raphael G. Warnock,30.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-08,2020-10-11,False
160,Raphael G. Warnock,44.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-10-08,2020-10-11,False
161,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-08,2020-10-09,False
162,Raphael G. Warnock,36.2,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-10-07,2020-10-07,False
163,Raphael G. Warnock,27.7,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-27,2020-10-06,False
164,Raphael G. Warnock,38.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-26,2020-09-29,False
165,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-09-26,2020-09-29,False
166,Raphael G. Warnock,49.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-09-26,2020-09-29,False
167,Raphael G. Warnock,28.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-24,2020-09-27,False
168,Raphael G. Warnock,31.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-23,2020-09-27,False
169,Raphael G. Warnock,26.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-23,2020-09-26,False
170,Raphael G. Warnock,21.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-17,2020-09-21,False
171,Raphael G. Warnock,23.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-17,2020-09-21,False
172,Raphael G. Warnock,25.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-17,2020-09-21,False
173,Raphael G. Warnock,19.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-16,2020-09-21,False
174,Raphael G. Warnock,20.3,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-11,2020-09-20,False
175,Raphael G. Warnock,26.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-14,2020-09-19,False
176,Raphael G. Warnock,25.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-14,2020-09-16,False
177,Raphael G. Warnock,21.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-09-12,2020-09-16,False
178,Raphael G. Warnock,19.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-08-30,2020-09-05,False
179,Raphael G. Warnock,17.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-08-30,2020-09-02,False
180,Raphael G. Warnock,15.94,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-08-20,2020-08-30,False
181,Raphael G. Warnock,17.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-08-06,2020-08-08,False
182,Raphael G. Warnock,14.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-23,2020-07-31,False
183,Raphael G. Warnock,9.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-23,2020-07-27,False
184,Raphael G. Warnock,10.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-23,2020-07-27,False
185,Raphael G. Warnock,10.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-23,2020-07-27,False
186,Raphael G. Warnock,16.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-06,2020-07-09,False
187,Raphael G. Warnock,10.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-06,2020-07-08,False
188,Raphael G. Warnock,18.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-07-02,2020-07-02,False
189,Raphael G. Warnock,37.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-07-02,2020-07-02,False
190,Raphael G. Warnock,38.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-07-02,2020-07-02,False
191,Raphael G. Warnock,20.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-06-25,2020-06-26,False
192,Raphael G. Warnock,41.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-06-25,2020-06-26,False
193,Raphael G. Warnock,43.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-06-25,2020-06-26,False
194,Raphael G. Warnock,23.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-06-18,2020-06-23,False
195,Raphael G. Warnock,18.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-05-16,2020-05-18,False
196,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-05-16,2020-05-18,False
197,Raphael G. Warnock,45.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-05-16,2020-05-18,False
198,Raphael G. Warnock,9.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-05-04,2020-05-07,False
199,Raphael G. Warnock,10.6,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-04-25,2020-04-27,False
200,Raphael G. Warnock,16.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-03-31,2020-04-01,False
201,Raphael G. Warnock,36.0,1969-07-23,M,Democrat,3.0,runoff,2020,2020-03-31,2020-04-01,False
202,Raphael G. Warnock,13.3,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-03-24,2020-03-24,False
203,Raphael G. Warnock,11.9,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-03-21,2020-03-21,False
204,Raphael G. Warnock,10.2,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-03-12,2020-03-12,False
205,Raphael G. Warnock,11.6,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-03-07,2020-03-07,False
206,Raphael G. Warnock,6.2,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-02-24,2020-03-02,False
207,Raphael G. Warnock,13.0,1969-07-23,M,Democrat,3.0,jungle primary,2020,2020-02-26,2020-02-27,False
208,Mark Kelly,46.7,1964-02-21,M,Democrat,3.0,general,2022,2022-11-05,2022-11-07,False
209,Mark Kelly,51.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-04,2022-11-06,False
210,Mark Kelly,48.2,1964-02-21,M,Democrat,3.0,general,2022,2022-11-04,2022-11-06,False
211,Mark Kelly,49.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-02,2022-11-06,False
212,Mark Kelly,46.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-02,2022-11-06,False
213,Mark Kelly,50.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-02,2022-11-06,False
214,Mark Kelly,47.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-02,2022-11-03,False
215,Mark Kelly,48.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-02,2022-11-02,False
216,Mark Kelly,48.0,1964-02-21,M,Democrat,3.0,general,2022,2022-11-01,2022-11-02,False
217,Mark Kelly,46.4,1964-02-21,M,Democrat,3.0,general,2022,2022-11-01,2022-11-02,False
218,Mark Kelly,49.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-31,2022-11-02,False
219,Mark Kelly,48.6,1964-02-21,M,Democrat,3.0,general,2022,2022-10-30,2022-11-02,False
220,Mark Kelly,49.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-29,2022-11-02,False
221,Mark Kelly,47.7,1964-02-21,M,Democrat,3.0,general,2022,2022-10-30,2022-11-01,False
222,Mark Kelly,47.2,1964-02-21,M,Democrat,3.0,general,2022,2022-10-29,2022-10-30,False
223,Mark Kelly,49.2,1964-02-21,M,Democrat,3.0,general,2022,2022-10-26,2022-10-30,False
224,Mark Kelly,47.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-26,2022-10-30,False
225,Mark Kelly,54.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-25,2022-10-30,False
226,Mark Kelly,55.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-25,2022-10-30,False
227,Mark Kelly,51.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-24,2022-10-26,False
228,Mark Kelly,48.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-24,2022-10-26,False
229,Mark Kelly,47.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-24,2022-10-26,False
230,Mark Kelly,49.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-24,2022-10-26,False
231,Mark Kelly,44.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-19,2022-10-26,False
232,Mark Kelly,47.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-19,2022-10-26,False
233,Mark Kelly,45.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-24,2022-10-25,False
234,Mark Kelly,46.6,1964-02-21,M,Democrat,3.0,general,2022,2022-10-20,2022-10-21,False
235,Mark Kelly,47.7,1964-02-21,M,Democrat,3.0,general,2022,2022-10-14,2022-10-18,False
236,Mark Kelly,47.4,1964-02-21,M,Democrat,3.0,general,2022,2022-10-16,2022-10-17,False
237,Mark Kelly,47.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-11,2022-10-17,False
238,Mark Kelly,42.4,1964-02-21,M,Democrat,3.0,general,2022,2022-10-12,2022-10-13,False
239,Mark Kelly,47.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-10,2022-10-13,False
240,Mark Kelly,48.9,1964-02-21,M,Democrat,3.0,general,2022,2022-10-08,2022-10-13,False
241,Mark Kelly,46.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-11,2022-10-11,False
242,Mark Kelly,46.0,1964-02-21,M,Democrat,3.0,general,2022,2022-10-08,2022-10-10,False
